id,year,Secteur,collaborateurs,constitution,Age,IPO,CapitalSocial,CapitauxPropres,NombreTitres,ValeurNominale,CA,ResultatExploitation,ResultatNet, BPA,ROE, Payout,DividendYield,PER, PBR ,Dividendes,Capitalisation,ROA, ResponsableDigitale,engagementDirection,Competences,Automatisation,AdoptionTech,CoutsOperationnels,Concurrence,InvestissementDigital
LESIEUR,2023,Agroalimentaire et Production,1769,01/01/1940,85,1972/12/07,276315100,1812000000,27631510,10,5934000000,74000000,2000000,0,0,2763,1,3730,4,2,7046,0,1,4,3,3,3,2,4,3
LESIEUR,2022,Agroalimentaire et Production,1637,01/01/1940,85,1972/12/07,276315100,1871000000,27631510,10,6897000000,463000000,206000000,7,11,60,2,31,3,5,5471,3,0,3,3,3,3,2,4,3
LESIEUR,2021,Agroalimentaire et Production,1687,01/01/1940,85,1972/12/07,276315100,1798000000,27631510,10,4863000000,309000000,140000000,5,8,69,2,39,3,4,5057,3,0,2,2,2,2,1,4,2
COSUMAR,2023,Agroalimentaire et Production,1249,01/04/1929,96,03/06/1985,944871430,5992300000,94487143,10,10233100000,1586600000,1009200000,11,17,28,2,18,3,10,18047,7,1,5,3,4,4,4,4,4
COSUMAR,2022,Agroalimentaire et Production,1326,01/04/1929,96,03/06/1985,944871430,5623900000,94487143,10,10432900000,1194700000,825900000,9,15,80,4,22,3,7,21354,7,1,4,3,3,3,3,3,3
COSUMAR,2021,Agroalimentaire et Production,1380,01/04/1929,96,03/06/1985,944871430,5419400000,94487143,10,9112500000,1310100000,763000000,8,14,74,2,32,5,6,24378,6,1,3,2,2,2,2,3,2
ATLANTASANAD,2023,Assurances,569,07/08/1947,78,16/10/2007,602835950,2257837000,60283595,10,5601313000,552096000,437548000,7,19,79,4,18,3,6,7427,3,1,3,3,3,3,2,4,3
ATLANTASANAD,2022,Assurances,596,07/08/1947,78,16/10/2007,602835950,2180900000,60283595,10,6073549000,730542000,413587000,7,19,80,4,18,3,6,7716,3,0,3,3,3,2,2,3,3
ATLANTASANAD,2021,Assurances,613,07/08/1947,78,16/10/2007,602835950,2104294000,60283595,10,6216913000,658715000,416505000,7,20,75,4,18,4,5,5838,8,0,2,2,2,2,1,3,2
WAFA ASSURANCE,2023,Assurances,783,01/10/1972,53,13/07/1988,350000000,9232504000,3500000,100,12724000000,902014000,670499000,192,7,73,4,21,2,140,13584,2,1,4,3,3,3,2,3,3
